Código,Descrição,Divisão,Carga de Incêndio,Descrição original
A-01-0,Casas térreas ou sobrados,A-1,300,
A-01-1,"Térreas ou sobrados, casas",A-1,300,Casas térreas ou sobrados
A-01-2,"Casas, térreas ou sobrados",A-1,300,Casas térreas ou sobrados
A-01-3,Sobrados ou casas térreas,A-1,300,Casas térreas ou sobrados
A-02-0,Apartamentos,A-2,300,
A-02-1,Apartamentos residenciais,A-2,300,Apartamentos
A-02-2,"Residenciais, apartamentos",A-2,300,Apartamentos
A-02-3,Apartamentos de uso residencial,A-2,300,Apartamentos
A-03-0,Alojamentos estudantis,A-3,300,
A-03-1,"Estudantis, alojamentos",A-3,300,Alojamentos estudantis
A-03-2,Alojamentos para estudantes,A-3,300,Alojamentos estudantis
A-03-3,"Estudantes, alojamentos",A-3,300,Alojamentos estudantis
A-04-0,Pensionatos,A-3,300,
A-04-1,Pensionatos residenciais,A-3,300,Pensionatos
A-04-2,"Residenciais, pensionatos",A-3,300,Pensionatos
A-04-3,Pensionatos de uso residencial,A-3,300,Pensionatos
A-05-0,Outros alojamentos não especificados anteriormente,A-3,300,
A-05-1,"Não especificados anteriormente, outros alojamentos",A-3,300,Outros alojamentos não especificados anteriormente
A-05-2,"Alojamentos, outros não especificados anteriormente",A-3,300,Outros alojamentos não especificados anteriormente
A-05-3,Outros alojamentos residenciais não especificados,A-3,300,Outros alojamentos não especificados anteriormente
A-06-0,Alojamento de animais domésticos,A-3,300,
A-06-1,"Animais domésticos, alojamento",A-3,300,Alojamento de animais domésticos
A-06-2,Alojamento para animais domésticos,A-3,300,Alojamento de animais domésticos
A-06-3,"Domésticos, alojamento de animais",A-3,300,Alojamento de animais domésticos
B-01-0,Hotéis,B-1,500,
B-01-1,Hotéis de hospedagem,B-1,500,Hotéis
B-01-2,"Hospedagem, hotéis",B-1,500,Hotéis
B-01-3,Estabelecimentos hoteleiros,B-1,500,Hotéis
B-02-0,Motéis,B-1,500,
B-02-1,Motéis de hospedagem,B-1,500,Motéis
B-02-2,"Hospedagem, motéis",B-1,500,Motéis
B-02-3,Estabelecimentos moteleiros,B-1,500,Motéis
B-03-0,"Albergues, exceto assistenciais",B-1,500,
B-03-1,Albergues (não assistenciais),B-1,500,"Albergues, exceto assistenciais"
B-03-2,"Exceto assistenciais, albergues",B-1,500,"Albergues, exceto assistenciais"
B-03-3,"Albergues para hospedagem, exceto assistenciais",B-1,500,"Albergues, exceto assistenciais"
B-04-0,Campings (sem área construída) ³,B-1,300,
B-04-1,Campings sem área construída,B-1,300,Campings (sem área construída) ³
B-04-2,"Sem área construída, campings",B-1,300,Campings (sem área construída) ³
B-04-3,Campings (área livre),B-1,300,Campings (sem área construída) ³
B-05-0,Apart-hotéis,B-2,500,
B-05-1,Apart-hotéis residenciais,B-2,500,Apart-hotéis
B-05-2,"Hospedagem, apart-hotéis",B-2,500,Apart-hotéis
B-05-3,Apart-hotéis de hospedagem,B-2,500,Apart-hotéis
C-01-0,"Comércio a varejo de automóveis, camionetas e utilitários novos",C-1,200,
C-01-1,"a varejo de automóveis, camionetas e utilitários novos, Comércio",C-1,200,"Comércio a varejo de automóveis, camionetas e utilitários novos"
C-01-2,"Comércio, a varejo de automóveis, camionetas e utilitários novos",C-1,200,"Comércio a varejo de automóveis, camionetas e utilitários novos"
C-01-3,"Comércio a varejo de automóveis, camionetas e utilitários novos",C-1,200,"Comércio a varejo de automóveis, camionetas e utilitários novos"
C-02-0,"Comércio a varejo de automóveis, camionetas e utilitários usados",C-1,200,
